,TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv,mask,Time
0,1,2,00:00,10.64,-1.59,28.1,42.17,-9.66,1.01,1.01,1.01,0.0,1468.21,1,2023-01-02 00:00:00
1,1,2,00:10,7.0,0.84,27.87,42.05,-2.77,1.0,1.0,1.0,0.0,718.12,1,2023-01-02 00:10:00
2,1,2,00:20,5.87,-2.61,27.38,41.73,-9.17,0.99,0.99,0.99,0.0,442.15,1,2023-01-02 00:20:00
3,1,2,00:30,4.0,3.26,27.13,41.76,-8.2,0.99,0.99,0.99,0.0,196.04,1,2023-01-02 00:30:00
4,1,2,00:40,4.03,2.88,26.99,41.66,2.82,0.99,0.99,0.99,0.0,234.35,1,2023-01-02 00:40:00
5,1,2,00:50,3.46,1.32,26.8,41.36,38.08,0.99,0.99,0.99,0.0,124.94,1,2023-01-02 00:50:00
6,1,2,01:00,3.96,-0.03,26.52,40.87,22.25,0.99,0.99,0.99,0.0,179.06,1,2023-01-02 01:00:00
7,1,2,01:10,4.63,-2.5,26.25,39.97,38.62,0.99,0.99,0.99,0.0,253.25,1,2023-01-02 01:10:00
8,1,2,01:20,5.4,-0.77,26.01,39.09,46.95,0.99,0.99,0.99,0.0,347.0,1,2023-01-02 01:20:00
9,1,2,01:30,4.73,3.92,25.84,38.32,40.33,0.99,0.99,0.99,0.0,249.3,1,2023-01-02 01:30:00
10,1,2,01:40,4.43,0.28,25.49,37.69,47.41,0.99,0.99,0.99,0.0,205.12,1,2023-01-02 01:40:00
11,1,2,01:50,4.85,3.58,25.27,37.15,43.08,0.99,0.99,0.99,0.0,254.04,1,2023-01-02 01:50:00
12,1,2,02:00,5.14,-0.44,24.95,36.77,51.45,1.0,1.0,1.0,0.0,323.51,1,2023-01-02 02:00:00
13,1,2,02:10,3.7,0.27,24.87,36.4,41.87,0.99,0.99,0.99,0.0,141.3,1,2023-01-02 02:10:00
14,1,2,02:20,4.87,0.79,24.68,36.02,42.32,0.99,0.99,0.99,0.0,264.43,1,2023-01-02 02:20:00
15,1,2,02:30,5.66,3.18,24.5,35.54,42.99,0.99,0.99,0.99,0.0,376.04,1,2023-01-02 02:30:00
16,1,2,02:40,5.52,-1.1,24.29,35.45,39.69,0.99,0.99,0.99,0.0,351.48,1,2023-01-02 02:40:00
17,1,2,02:50,5.74,-0.05,24.15,35.12,39.86,0.99,0.99,0.99,0.0,399.43,1,2023-01-02 02:50:00
18,1,2,03:00,5.69,1.58,23.96,34.91,43.96,0.99,0.99,0.99,0.0,406.87,1,2023-01-02 03:00:00
19,1,2,03:10,5.62,1.72,23.75,34.89,47.59,0.99,0.99,0.99,0.0,367.38,1,2023-01-02 03:10:00
20,1,2,03:20,5.9,0.23,23.47,34.34,51.44,0.99,0.99,0.99,0.0,376.7,1,2023-01-02 03:20:00
21,1,2,03:30,5.86,4.56,23.18,34.27,60.38,0.99,0.99,0.99,0.0,388.46,1,2023-01-02 03:30:00
22,1,2,03:40,4.17,0.2,23.02,33.74,73.79,0.99,0.99,0.99,0.0,221.39,1,2023-01-02 03:40:00
23,1,2,03:50,8.79,-2.61,22.9,33.96,57.58,1.0,1.0,1.0,0.0,1014.57,1,2023-01-02 03:50:00
24,1,2,04:00,9.46,1.58,22.9,34.22,54.6,1.0,1.0,1.0,0.0,1178.79,1,2023-01-02 04:00:00
25,1,2,04:10,8.85,0.74,22.9,34.38,57.05,1.0,1.0,1.0,0.0,1001.72,1,2023-01-02 04:10:00
26,1,2,04:20,6.87,-0.66,22.79,34.54,58.68,1.0,1.0,1.0,0.0,550.82,1,2023-01-02 04:20:00
27,1,2,04:30,5.7,-4.38,22.57,34.18,60.2,0.99,0.99,0.99,0.0,364.21,1,2023-01-02 04:30:00
28,1,2,04:40,6.96,-0.73,22.36,34.15,53.52,1.0,1.0,1.0,0.0,607.99,1,2023-01-02 04:40:00
29,1,2,04:50,7.08,-2.9,22.24,34.46,53.05,1.0,1.0,1.0,0.0,628.92,1,2023-01-02 04:50:00
30,1,2,05:00,7.31,0.78,22.17,34.38,45.93,1.0,1.0,1.0,0.0,690.13,1,2023-01-02 05:00:00
31,1,2,05:10,8.62,-2.88,22.1,34.2,53.38,1.0,1.0,1.0,0.0,984.27,1,2023-01-02 05:10:00
32,1,2,05:20,9.29,-2.4,22.04,34.0,47.76,1.0,1.0,1.0,0.0,1141.81,1,2023-01-02 05:20:00
