,Date,load,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
0,2022-01-01 00:00:00,531.14,25.56,25.95,0.0,-0.39,36,35
1,2022-01-01 01:00:00,508.084,25.54,25.87,0.0,-0.33,36,36
2,2022-01-01 02:00:00,490.019,27.41,27.5,0.0,-0.09,33,33
3,2022-01-01 03:00:00,483.029,25.07,25.13,0.0,-0.06,34,33
4,2022-01-01 04:00:00,485.721,29.2,29.27,0.0,-0.07,33,32
5,2022-01-01 05:00:00,495.406,28.39,28.41,0.0,-0.02,34,33
6,2022-01-01 06:00:00,515.847,24.89,24.92,0.0,-0.03,35,34
7,2022-01-01 07:00:00,548.813,22.6,22.9,0.0,-0.3,38,35
8,2022-01-01 08:00:00,582.752,23.38,23.89,0.0,-0.51,38,35
9,2022-01-01 09:00:00,610.893,21.89,22.29,0.0,-0.4,40,37
10,2022-01-01 10:00:00,634.443,30.48,31.01,0.0,-0.53,41,38
11,2022-01-01 11:00:00,646.632,34.0,34.54,0.0,-0.54,41,39
12,2022-01-01 12:00:00,647.827,32.49,32.95,0.0,-0.46,42,40
13,2022-01-01 13:00:00,638.586,32.77,33.22,0.0,-0.45,43,40
14,2022-01-01 14:00:00,640.71,31.96,32.38,0.0,-0.42,44,41
15,2022-01-01 15:00:00,649.956,30.9,31.28,0.0,-0.38,45,42
16,2022-01-01 16:00:00,673.709,38.47,38.9,0.0,-0.43,44,42
17,2022-01-01 17:00:00,692.176,41.36,41.88,0.0,-0.52,44,42
18,2022-01-01 18:00:00,676.564,36.86,37.27,0.0,-0.41,40,40
19,2022-01-01 19:00:00,651.058,33.18,33.410000000000004,0.0,-0.23,40,39
20,2022-01-01 20:00:00,619.441,31.18,31.42,0.0,-0.24,38,37
21,2022-01-01 21:00:00,594.121,30.46,30.84,0.0,-0.38,36,35
22,2022-01-01 22:00:00,567.587,27.48,27.92,0.0,-0.44,35,34
23,2022-01-01 23:00:00,528.036,24.51,24.94,0.0,-0.43,35,34
