Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-1.000000,,yPosition,-1.800000,,yPosition,-1.820000,,,

TIME,CH1,CH2,CH3,,TIME,MATH1
-2.01920000e-06,-1.00734375e+01,1.18000000e+03,-1.06250000e+00,,-2.01920000e-06,-2.00599993e-06
-2.01760000e-06,-1.01062500e+01,1.17875000e+03,-9.06250000e-01,,-2.01760000e-06,-3.86359352e-06
-2.01600000e-06,-1.01312500e+01,1.17890625e+03,-9.37500000e-01,,-2.01600000e-06,-5.60236685e-06
-2.01440000e-06,-1.01781250e+01,1.18054688e+03,-1.39062500e+00,,-2.01440000e-06,-7.79990478e-06
-2.01280000e-06,-1.00515625e+01,1.18140625e+03,-1.01562500e+00,,-2.01280000e-06,-1.00731559e-05
-2.01120000e-06,-1.01109375e+01,1.18062500e+03,-7.96875000e-01,,-2.01120000e-06,-1.17856971e-05
-2.00960000e-06,-1.01046875e+01,1.17914062e+03,-1.32812500e+00,,-2.00960000e-06,-1.37911820e-05
-2.00800000e-06,-1.01593750e+01,1.17804688e+03,-8.12500000e-01,,-2.00800000e-06,-1.58097500e-05
-2.00640000e-06,-1.01375000e+01,1.17867188e+03,-8.59375000e-01,,-2.00640000e-06,-1.73858170e-05
-2.00480000e-06,-1.00484375e+01,1.17750000e+03,-9.06250000e-01,,-2.00480000e-06,-1.90498413e-05
-2.00320000e-06,-1.00234375e+01,1.17937500e+03,-8.90625000e-01,,-2.00320000e-06,-2.07438334e-05
-2.00160000e-06,-1.01468750e+01,1.17515625e+03,-4.84375000e-01,,-2.00160000e-06,-2.20395104e-05
-2.00000000e-06,-1.00390625e+01,1.17546875e+03,-5.78125000e-01,,-2.00000000e-06,-2.30385376e-05
-1.99840000e-06,-1.00671875e+01,1.17750000e+03,-1.56250000e+00,,-1.99840000e-06,-2.50540670e-05
-1.99680000e-06,-1.00343750e+01,1.18015625e+03,-1.23437500e+00,,-1.99680000e-06,-2.76913470e-05
-1.99520000e-06,-1.00953125e+01,1.17601562e+03,-2.34375000e-01,,-1.99520000e-06,-2.90772550e-05
-1.99360000e-06,-1.01078125e+01,1.17804688e+03,-1.10937500e+00,,-1.99360000e-06,-3.03432753e-05
-1.99200000e-06,-1.00562500e+01,1.17718750e+03,-2.18750000e-01,,-1.99200000e-06,-3.15947982e-05
-1.99040000e-06,-1.00578125e+01,1.18039062e+03,-6.71875000e-01,,-1.99040000e-06,-3.24352659e-05
-1.98880000e-06,-1.01203125e+01,1.17734375e+03,-1.57812500e+00,,-1.98880000e-06,-3.45561239e-05
-1.98720000e-06,-1.01578125e+01,1.18289062e+03,-7.81250000e-01,,-1.98720000e-06,-3.67818284e-05
-1.98560000e-06,-1.00640625e+01,1.17664062e+03,-1.35937500e+00,,-1.98560000e-06,-3.88007320e-05
-1.98400000e-06,-1.00843750e+01,1.17820312e+03,-1.84375000e+00,,-1.98400000e-06,-4.18181771e-05
-1.98240000e-06,-1.00906250e+01,1.17984375e+03,-2.04687500e+00,,-1.98240000e-06,-4.54880210e-05
-1.98080000e-06,-1.00968750e+01,1.17859375e+03,-1.35937500e+00,,-1.98080000e-06,-4.87017351e-05
-1.97920000e-06,-1.01015625e+01,1.18257812e+03,-1.26562500e+00,,-1.97920000e-06,-5.11808175e-05
-1.97760000e-06,-1.01906250e+01,1.17851562e+03,-1.06250000e+00,,-1.97760000e-06,-5.33799175e-05
-1.97600000e-06,-1.01640625e+01,1.17875000e+03,-8.75000000e-01,,-1.97600000e-06,-5.52067795e-05
-1.97440000e-06,-1.01531250e+01,1.18023438e+03,-2.34375000e-01,,-1.97440000e-06,-5.62531968e-05
-1.97280000e-06,-1.01437500e+01,1.17640625e+03,-1.17187500e+00,,-1.97280000e-06,-5.75773702e-05
-1.97120000e-06,-1.01546875e+01,1.17390625e+03,-1.00000000e+00,,-1.97120000e-06,-5.96193750e-05
-1.96960000e-06,-1.01531250e+01,1.17468750e+03,-2.50000000e-01,,-1.96960000e-06,-6.07934380e-05
